Measurement ID;3541
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;4/27/2017 8:51:52 AM
End Time;4/29/2017 3:04:43 PM
Test section;EIS00007
Comment;25degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
4/28/2017 8:05:48 AM;46;EIS;23:13:49.012;00:03:01.193;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;3.67307;24.10206;-1.91081;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01700;0.42063;24.17769;-4.53292;25.00000;25.00000;26.84366;
4/28/2017 8:06:00 AM;46;EIS;23:14:00.647;00:03:12.828;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;3.66522;24.51274;-1.98729;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01734;0.41367;24.59316;-4.63494;25.00000;25.00000;26.65312;
4/28/2017 8:06:12 AM;46;EIS;23:14:12.748;00:03:24.929;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;60.00000;2.00000;-2.00000;20.00000;10.00000;17.00000;16.00000;3.67522;24.92252;-2.04796;60.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01726;0.40680;25.00652;-4.69761;25.00000;25.00000;26.65312;
4/28/2017 8:06:23 AM;46;EIS;23:14:24.246;00:03:36.427;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;44.99365;2.00000;-2.00000;20.00000;10.00000;18.00000;16.00000;3.65894;25.34875;-2.08728;44.94382;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01702;0.39986;25.43454;-4.70725;25.00000;25.00000;26.86607;
4/28/2017 8:06:36 AM;46;EIS;23:14:36.573;00:03:48.754;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;33.74048;2.00000;-2.00000;20.00000;10.00000;19.00000;16.00000;3.66831;25.78415;-2.10661;33.70787;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01680;0.39304;25.87007;-4.67078;25.00000;25.00000;26.86607;
4/28/2017 8:06:48 AM;46;EIS;23:14:49.132;00:04:01.313;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;25.30179;2.00000;-2.00000;20.00000;10.00000;20.00000;16.00000;3.67126;26.23013;-2.09614;25.31646;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01672;0.38638;26.31375;-4.56899;25.00000;25.00000;26.86607;
4/28/2017 8:07:04 AM;46;EIS;23:15:04.565;00:04:16.746;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;18.97367;2.00000;-2.00000;20.00000;10.00000;21.00000;16.00000;3.66535;26.68043;-2.04094;18.98734;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01758;0.38028;26.75838;-4.37436;25.00000;25.00000;26.86607;
4/28/2017 8:07:16 AM;46;EIS;23:15:16.977;00:04:29.158;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;14.22824;2.00000;-2.00000;20.00000;10.00000;22.00000;16.00000;3.66533;27.11590;-1.93729;14.21801;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01575;0.37364;27.18501;-4.08653;25.00000;25.00000;26.86607;
4/28/2017 8:07:28 AM;46;EIS;23:15:28.662;00:04:40.843;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;10.66968;2.00000;-2.00000;20.00000;10.00000;23.00000;16.00000;3.66533;27.50847;-1.78522;10.67616;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01412;0.36788;27.56634;-3.71312;25.00000;25.00000;26.85486;
4/28/2017 8:07:40 AM;46;EIS;23:15:40.597;00:04:52.778;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;8.00113;2.00000;-2.00000;20.00000;10.00000;24.00000;16.00000;3.67527;27.85504;-1.61138;8.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01245;0.36286;27.90161;-3.31081;25.00000;25.00000;26.86607;
4/28/2017 8:07:52 AM;46;EIS;23:15:52.926;00:05:05.107;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;6.00000;2.00000;-2.00000;20.00000;10.00000;25.00000;16.00000;3.66537;28.11820;-1.42386;6.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00865;0.35826;28.15423;-2.89888;25.00000;25.00000;26.65312;
4/28/2017 8:08:04 AM;46;EIS;23:16:04.667;00:05:16.848;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;4.49937;2.00000;-2.00000;20.00000;10.00000;26.00000;16.00000;3.66538;28.33552;-1.25640;4.50450;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00776;0.35530;28.36336;-2.53885;25.00000;25.00000;26.85486;
4/28/2017 8:08:16 AM;46;EIS;23:16:16.904;00:05:29.085;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;3.37405;2.00000;-2.00000;20.00000;10.00000;27.00000;16.00000;3.66540;28.50641;-1.11085;3.37079;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00590;0.35260;28.52805;-2.23160;25.00000;25.00000;26.65312;
4/28/2017 8:08:28 AM;46;EIS;23:16:28.401;00:05:40.582;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;2.53018;2.00000;-2.00000;20.00000;10.00000;28.00000;16.00000;3.67134;28.65581;-1.00961;2.53378;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00504;0.35051;28.67359;-2.01783;25.00000;25.00000;26.86607;
4/28/2017 8:08:40 AM;46;EIS;23:16:40.492;00:05:52.673;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;1.89737;2.00000;-2.00000;20.00000;10.00000;29.00000;16.00000;3.66904;28.75418;-0.93146;1.89873;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00340;0.34877;28.76926;-1.85539;25.00000;25.00000;26.86607;
4/28/2017 8:08:51 AM;46;EIS;23:16:51.897;00:06:04.078;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;1.42282;2.00000;-2.00000;20.00000;10.00000;30.00000;16.00000;3.66034;28.86377;-0.88638;1.42045;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00364;0.34755;28.87738;-1.75896;25.00000;25.00000;26.86607;
4/28/2017 8:09:03 AM;46;EIS;23:17:04.169;00:06:16.350;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;1.06697;2.00000;-2.00000;20.00000;10.00000;31.00000;16.00000;3.66538;28.97983;-0.88216;1.06838;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00404;0.34630;28.99325;-1.74357;25.00000;25.00000;26.65312;
4/28/2017 8:09:16 AM;46;EIS;23:17:16.846;00:06:29.027;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;3.65566;29.07896;-0.90399;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00327;0.34485;29.09301;-1.78061;25.00000;25.00000;26.86607;
4/28/2017 8:09:28 AM;46;EIS;23:17:28.614;00:06:40.795;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;3.66537;29.16309;-0.96129;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00279;0.34367;29.17893;-1.88793;25.00000;25.00000;26.65312;
4/28/2017 8:09:39 AM;46;EIS;23:17:40.103;00:06:52.284;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.44994;2.00000;-2.00000;20.00000;10.00000;34.00000;16.00000;3.65869;29.25599;-1.06264;0.44964;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00364;0.34283;29.27529;-2.08020;25.00000;25.00000;26.86607;
4/28/2017 8:09:50 AM;46;EIS;23:17:50.544;00:07:02.725;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.33740;2.00000;-2.00000;20.00000;10.00000;35.00000;16.00000;3.66531;29.35605;-1.19411;0.33723;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00338;0.34151;29.38033;-2.32933;25.00000;25.00000;26.86607;
4/28/2017 8:10:03 AM;46;EIS;23:18:04.263;00:07:16.444;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.25302;2.00000;-2.00000;20.00000;10.00000;36.00000;16.00000;3.66495;29.51455;-1.37249;0.25270;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00595;0.34046;29.54644;-2.66246;25.00000;25.00000;26.85486;
4/28/2017 8:10:22 AM;46;EIS;23:18:22.583;00:07:34.764;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.18974;2.00000;-2.00000;20.00000;10.00000;37.00000;16.00000;3.66203;29.68591;-1.60457;0.18978;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00619;0.33845;29.72925;-3.09391;25.00000;25.00000;26.65312;
4/28/2017 8:10:45 AM;46;EIS;23:18:45.421;00:07:57.602;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.14228;2.00000;-2.00000;20.00000;10.00000;38.00000;16.00000;3.66326;29.88661;-1.89225;0.14248;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00739;0.33640;29.94645;-3.62280;25.00000;25.00000;26.85486;
4/28/2017 8:11:15 AM;46;EIS;23:19:15.936;00:08:28.117;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.10670;2.00000;-2.00000;20.00000;10.00000;39.00000;16.00000;3.66295;30.11972;-2.24561;0.10678;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00818;0.33380;30.20332;-4.26387;25.00000;25.00000;26.65312;
4/28/2017 8:11:55 AM;46;EIS;23:19:55.614;00:09:07.795;5;1;Pan_5pulse_EISSOC;3.66348;0.00000;-1.45001;;0.00100;6000.00000;0.08001;2.00000;-2.00000;20.00000;10.00000;40.00000;16.00000;3.66460;30.39760;-2.67798;0.07999;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01056;0.33116;30.51533;-5.03468;25.00000;25.00000;26.85486;
4/28/2017 8:12:47 AM;46;EIS;23:20:47.692;00:09:59.873;5;1;Pan_5pulse_EISSOC;3.66283;0.00000;-1.45001;;0.00100;6000.00000;0.06000;2.00000;-2.00000;20.00000;10.00000;41.00000;16.00000;3.66491;30.75301;-3.20868;0.05994;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01342;0.32776;30.91995;-5.95653;25.00000;25.00000;26.66432;
4/28/2017 8:13:55 AM;46;EIS;23:21:55.919;00:11:08.100;5;1;Pan_5pulse_EISSOC;3.66283;0.00000;-1.45001;;0.00100;6000.00000;0.04499;2.00000;-2.00000;20.00000;10.00000;42.00000;16.00000;3.66340;31.20816;-3.83873;0.04507;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01663;0.32332;31.44336;-7.01239;25.00000;25.00000;26.65312;
4/28/2017 8:15:26 AM;46;EIS;23:23:26.686;00:12:38.867;5;1;Pan_5pulse_EISSOC;3.66283;0.00000;-1.45001;;0.00100;6000.00000;0.03374;2.00000;-2.00000;20.00000;10.00000;43.00000;16.00000;3.66463;31.79870;-4.56533;0.03377;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02169;0.31804;32.12475;-8.17011;25.00000;25.00000;26.85486;
4/28/2017 8:17:27 AM;46;EIS;23:25:27.499;00:14:39.680;5;1;Pan_5pulse_EISSOC;3.66283;0.00000;-1.45001;;0.00100;6000.00000;0.02530;2.00000;-2.00000;20.00000;10.00000;44.00000;16.00000;3.66454;32.48105;-5.40052;0.02531;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02556;0.31146;32.92695;-9.44003;25.00000;25.00000;26.86607;
4/28/2017 8:20:07 AM;46;EIS;23:28:07.514;00:17:19.695;5;1;Pan_5pulse_EISSOC;3.66283;0.00000;-1.45001;;0.00100;6000.00000;0.01897;2.00000;-2.00000;20.00000;10.00000;45.00000;16.00000;3.66384;33.31248;-6.37170;0.01896;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02948;0.30353;33.91637;-10.82822;25.00000;25.00000;26.64191;
4/28/2017 8:23:40 AM;46;EIS;23:31:40.775;00:20:52.956;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.01423;2.00000;-2.00000;20.00000;10.00000;46.00000;16.00000;3.66353;34.31726;-7.47602;0.01422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03572;0.29489;35.12215;-12.28987;25.00000;25.00000;26.64191;
4/28/2017 8:28:24 AM;46;EIS;23:36:24.407;00:25:36.588;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.01067;2.00000;-2.00000;20.00000;10.00000;47.00000;16.00000;3.66407;35.47726;-8.76927;0.01065;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04030;0.28466;36.54498;-13.88407;25.00000;25.00000;26.86607;
4/28/2017 8:34:41 AM;46;EIS;23:42:41.426;00:31:53.607;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00800;2.00000;-2.00000;20.00000;10.00000;48.00000;16.00000;3.66404;36.92146;-10.18771;0.00800;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04832;0.27370;38.30122;-15.42574;25.00000;25.00000;26.65312;
4/28/2017 8:43:03 AM;46;EIS;23:51:03.842;00:40:16.023;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00600;2.00000;-2.00000;20.00000;10.00000;49.00000;16.00000;3.66401;38.65361;-11.77197;0.00600;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05466;0.26101;40.40645;-16.93814;25.00000;25.00000;26.85486;
4/28/2017 8:54:13 AM;46;EIS;24:02:13.890;00:51:26.071;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00450;2.00000;-2.00000;20.00000;10.00000;50.00000;16.00000;3.66370;40.59866;-13.49691;0.00449;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05916;0.24756;42.78338;-18.38924;25.00000;25.00000;26.86607;
4/28/2017 9:09:05 AM;46;EIS;24:17:05.483;01:06:17.664;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00337;2.00000;-2.00000;20.00000;10.00000;51.00000;16.00000;3.66385;42.71723;-15.41115;0.00338;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06158;0.23377;45.41218;-19.83799;25.00000;25.00000;26.86607;
4/28/2017 9:28:51 AM;46;EIS;24:36:52.195;01:26:04.376;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00253;2.00000;-2.00000;20.00000;10.00000;52.00000;16.00000;3.66383;44.77096;-17.60437;0.00253;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05900;0.22013;48.10772;-21.46523;25.00000;25.00000;26.86607;
4/28/2017 9:55:16 AM;46;EIS;25:03:16.647;01:52:28.828;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00190;2.00000;-2.00000;20.00000;10.00000;53.00000;16.00000;3.66388;47.10068;-20.32458;0.00190;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06640;0.20788;51.29876;-23.34085;25.00000;25.00000;26.86607;
4/28/2017 10:30:25 AM;46;EIS;25:38:26.189;02:27:38.370;5;1;Pan_5pulse_EISSOC;3.66219;0.00000;-1.45001;;0.00100;6000.00000;0.00142;2.00000;-2.00000;20.00000;10.00000;54.00000;16.00000;3.66390;49.38912;-23.69570;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06792;0.19495;54.77930;-25.63057;25.00000;25.00000;26.85486;
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;4/27/2017 8:51:52 AM
End Time;4/29/2017 3:04:43 PM
Test section;EIS00006
Comment;25degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
